City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,nova sintra,14.8667,-24.7167,296.51,80,0,8.15,CV,1714933875
84,kodiak,57.79,-152.4072,277.88,81,100,4.12,US,1714933876
85,badger,64.8,-147.5333,284.08,50,0,3.6,US,1714933634
86,alaghsas,17.0187,8.0168,315.09,6,0,3.09,NE,1714933876
87,petropavlovsk-kamchatsky,53.0452,158.6483,274.14,78,75,3.58,RU,1714933877
88,gaya,24.7833,85.0,303.1,54,96,3.09,IN,1714933877
89,atherton,53.5237,-2.4935,291.9,80,100,1.34,GB,1714933878
90,limavady,55.0504,-6.9507,287.02,77,75,2.57,GB,1714933878
91,kapoeta,4.7717,33.5903,300.64,47,65,2.89,SS,1714933878
92,unai,-16.3575,-46.9061,302.93,42,10,3.69,BR,1714933879
93,bardai,11.65,7.2333,306.02,19,0,2.81,NG,1714933879
94,vilyuchinsk,52.9306,158.4028,274.96,83,93,1.66,RU,1714933880
95,new norfolk,-42.7826,147.0587,283.87,95,100,1.23,AU,1714933880
96,palmeira das missoes,-27.8994,-53.3136,298.21,80,0,4.45,BR,1714933866
97,sarangani,5.4033,125.4636,301.85,76,80,5.56,PH,1714933881
98,santa terezinha,-29.9002,-50.0904,296.0,89,26,4.11,BR,1714933702
99,namibe,-15.1961,12.1522,295.95,77,3,1.88,AO,1714933881
100,holualoa,19.6228,-155.9522,295.12,87,40,2.57,US,1714933625
101,san pedro,14.35,121.0167,302.77,78,20,2.68,PH,1714933882
102,port elizabeth,-33.918,25.5701,288.32,90,0,0.0,ZA,1714933883
103,yinchuan,38.4681,106.2731,289.71,44,1,2.52,CN,1714933654
104,wailua homesteads,22.0669,-159.378,297.39,78,75,8.75,US,1714933883
105,lihue,21.9789,-159.3672,297.73,72,75,8.75,US,1714933884
106,port hedland,-20.3167,118.5667,294.18,46,59,3.6,AU,1714933884
107,minas de marcona,-15.2119,-75.1103,294.81,60,21,6.71,PE,1714933661
108,hammerfest,70.6634,23.6821,272.4,80,75,4.12,NO,1714933885
109,corner brook,48.9667,-57.9484,289.24,47,100,2.69,CA,1714933808
110,zahedan,29.4963,60.8629,297.1,41,0,2.06,IR,1714933885
111,agropoli,40.3469,14.9966,287.02,79,4,1.43,IT,1714933886
112,san fernando de apure,7.8878,-67.4724,306.93,50,100,1.75,VE,1714933886
113,whitehorse,60.7161,-135.0538,285.38,47,75,6.17,CA,1714933600
114,jamestown,42.097,-79.2353,290.77,95,100,3.6,US,1714933887
115,mejit,10.2753,170.8646,300.88,77,100,7.99,MH,1714933887
116,puerto ayora,-0.7393,-90.3518,300.13,94,94,3.58,EC,1714933615
117,port blair,11.6667,92.75,301.17,83,20,1.03,IN,1714933888
118,birao,10.2849,22.7882,302.78,11,0,2.32,CF,1714933888
119,balqash,46.8481,74.995,286.89,66,100,5.68,KZ,1714933888
120,touros,-5.1989,-35.4608,301.37,79,10,6.51,BR,1714933889
121,vila franca do campo,37.7167,-25.4333,292.38,99,98,2.72,PT,1714933889
122,st. john's,47.5649,-52.7093,279.08,79,75,4.12,CA,1714933795
123,tiruvallur,13.15,79.9167,305.18,69,0,6.65,IN,1714933890
124,vila velha,-20.3297,-40.2925,302.12,65,75,4.12,BR,1714933655
125,susuman,62.7833,148.1667,270.36,86,100,0.89,RU,1714933891
126,aasiaat,68.7098,-52.8699,266.2,73,70,1.22,GL,1714933648
127,kismayo,-0.3582,42.5454,300.42,88,100,6.89,SO,1714933892
128,constantia,44.1833,28.65,283.54,62,0,4.78,RO,1714933604
129,valtierrilla,20.5333,-101.1333,308.37,10,49,2.8,MX,1714933892
130,keetmanshoop,-26.5833,18.1333,298.66,19,0,2.57,NA,1714933893
131,port lincoln,-34.7333,135.8667,287.15,84,0,4.8,AU,1714933893
132,awka,6.2101,7.0741,300.78,78,36,2.73,NG,1714933823
133,kitimat,54.0524,-128.6534,287.36,78,100,1.79,CA,1714933894
134,mitchell,43.7094,-98.0298,290.78,46,0,7.4,US,1714933817
135,undurkhaan,47.3194,110.6556,283.63,55,100,1.35,MN,1714933895
136,kingston,17.997,-76.7936,305.68,58,40,8.75,JM,1714933784
137,rongelap,11.1635,166.8941,300.62,75,65,7.11,MH,1714933896
138,uturoa,-16.7333,-151.4333,301.13,75,88,8.43,PF,1714933896
